Block Group,Median Age,Male Median Age,Female Median Age
"Block Group 2, Census Tract 5068.01, Santa Clara County, California",53.6,54,53.5
"Block Group 4, Census Tract 5068.01, Santa Clara County, California",45.4,46.5,45.1
"Block Group 3, Census Tract 5069, Santa Clara County, California",53.6,53.4,53.9
"Block Group 4, Census Tract 5069, Santa Clara County, California",48.6,37.8,50.6
"Block Group 2, Census Tract 5070.02, Santa Clara County, California",56,63.1,49.8
"Block Group 1, Census Tract 5072.03, Santa Clara County, California",39.4,36.8,41.2
"Block Group 1, Census Tract 5072.05, Santa Clara County, California",42.8,38.5,45.2
"Block Group 3, Census Tract 5072.05, Santa Clara County, California",42.9,41.6,46.8
"Block Group 1, Census Tract 5072.06, Santa Clara County, California",51.2,48.6,53.5
"Block Group 2, Census Tract 5078.05, Santa Clara County, California",42.2,38.2,44.8
"Block Group 1, Census Tract 5093.02, Santa Clara County, California",43.1,43.3,42.8
"Block Group 2, Census Tract 5094.01, Santa Clara County, California",32.5,32.6,32.3
"Block Group 1, Census Tract 5094.04, Santa Clara County, California",38.8,38.6,39
"Block Group 1, Census Tract 5098.01, Santa Clara County, California",36,33.5,39.5
"Block Group 2, Census Tract 5098.01, Santa Clara County, California",39,31.7,42.9
"Block Group 5, Census Tract 5100.01, Santa Clara County, California",54,44.9,55.7
"Block Group 6, Census Tract 5100.01, Santa Clara County, California",52.2,46.7,52.9
"Block Group 3, Census Tract 5100.02, Santa Clara County, California",51.7,53.9,50.3
"Block Group 1, Census Tract 5101, Santa Clara County, California",51.1,54.2,47.1
"Block Group 1, Census Tract 5102, Santa Clara County, California",49.4,49.5,49.4
"Block Group 1, Census Tract 5104, Santa Clara County, California",36.8,36.7,37
"Block Group 1, Census Tract 5105, Santa Clara County, California",43.6,43.4,43.8
"Block Group 2, Census Tract 5105, Santa Clara County, California",57.7,57.6,58.1
"Block Group 3, Census Tract 5105, Santa Clara County, California",49.2,49.5,49.1
"Block Group 1, Census Tract 5108.03, Santa Clara County, California",41.4,38.5,41.8
"Block Group 2, Census Tract 5108.03, Santa Clara County, California",41.8,44.5,39.1
"Block Group 2, Census Tract 5110, Santa Clara County, California",41.7,49.5,34.4
