Block Group,Total educated number,Less than 9th,9th to 12th,High school,College no degree,Associate,Bachelor,Graduate
"Block Group 1, Census Tract 5046.01, Santa Clara County, California",729,16,40,126,152,48,216,131
"Block Group 1, Census Tract 5047, Santa Clara County, California",218,0,7,12,39,7,63,90
"Block Group 2, Census Tract 5068.01, Santa Clara County, California",1086,59,44,72,306,32,234,339
"Block Group 4, Census Tract 5068.01, Santa Clara County, California",569,7,13,38,29,39,284,159
"Block Group 3, Census Tract 5069, Santa Clara County, California",1447,0,20,99,219,88,601,420
"Block Group 4, Census Tract 5069, Santa Clara County, California",1743,0,37,308,152,115,503,628
"Block Group 2, Census Tract 5070.02, Santa Clara County, California",1086,0,6,59,71,26,420,504
"Block Group 1, Census Tract 5072.03, Santa Clara County, California",1013,5,6,93,149,94,385,281
"Block Group 1, Census Tract 5072.05, Santa Clara County, California",377,0,2,62,46,41,117,109
"Block Group 3, Census Tract 5072.05, Santa Clara County, California",840,22,14,108,112,61,236,287
"Block Group 1, Census Tract 5072.06, Santa Clara County, California",1066,0,17,81,180,55,391,342
"Block Group 2, Census Tract 5078.05, Santa Clara County, California",475,5,7,20,43,24,226,150
"Block Group 2, Census Tract 5091.09, Santa Clara County, California",1153,0,0,145,419,67,385,137
"Block Group 1, Census Tract 5092.01, Santa Clara County, California",835,0,0,62,150,36,307,280
"Block Group 3, Census Tract 5092.02, Santa Clara County, California",465,28,10,32,103,37,141,114
"Block Group 4, Census Tract 5092.02, Santa Clara County, California",543,39,0,36,50,7,306,105
"Block Group 1, Census Tract 5093.02, Santa Clara County, California",901,0,73,17,79,73,274,385
"Block Group 2, Census Tract 5094.01, Santa Clara County, California",563,0,21,5,102,63,187,185
"Block Group 1, Census Tract 5094.03, Santa Clara County, California",717,0,42,64,82,65,299,165
"Block Group 1, Census Tract 5094.04, Santa Clara County, California",878,2,34,10,128,0,258,446
"Block Group 2, Census Tract 5094.04, Santa Clara County, California",640,0,0,104,202,64,139,131
"Block Group 2, Census Tract 5095, Santa Clara County, California",1019,58,26,15,122,18,374,406
"Block Group 3, Census Tract 5095, Santa Clara County, California",970,0,0,142,130,80,273,345
