Block Group,Median household income
"Block Group 1, Census Tract 5093.02, Santa Clara County, California",190694
"Block Group 2, Census Tract 5094.01, Santa Clara County, California",189464
"Block Group 1, Census Tract 5094.04, Santa Clara County, California",240192
"Block Group 1, Census Tract 5098.01, Santa Clara County, California",122813
"Block Group 2, Census Tract 5098.01, Santa Clara County, California",100000
"Block Group 3, Census Tract 5100.02, Santa Clara County, California",186103
"Block Group 1, Census Tract 5102, Santa Clara County, California",240750
"Block Group 1, Census Tract 5104, Santa Clara County, California",250000
"Block Group 1, Census Tract 5105, Santa Clara County, California",250000
"Block Group 2, Census Tract 5105, Santa Clara County, California",221818
"Block Group 3, Census Tract 5105, Santa Clara County, California",250000
"Block Group 1, Census Tract 5108.03, Santa Clara County, California",231625
"Block Group 2, Census Tract 5108.03, Santa Clara County, California",143810
"Block Group 2, Census Tract 5110, Santa Clara County, California",161658
"Block Group 5, Census Tract 5110, Santa Clara County, California",232500
"Block Group 1, Census Tract 5112, Santa Clara County, California",250000
"Block Group 2, Census Tract 5112, Santa Clara County, California",248958
"Block Group 1, Census Tract 5113.02, Santa Clara County, California",37823
"Block Group 2, Census Tract 5113.02, Santa Clara County, California",112226
"Block Group 3, Census Tract 5113.02, Santa Clara County, California",143824
"Block Group 1, Census Tract 5114, Santa Clara County, California",250000
"Block Group 2, Census Tract 5114, Santa Clara County, California",250000
"Block Group 3, Census Tract 5114, Santa Clara County, California",250000
"Block Group 4, Census Tract 5114, Santa Clara County, California",250000
"Block Group 1, Census Tract 5116.09, Santa Clara County, California",132118
"Block Group 2, Census Tract 5117.01, Santa Clara County, California",250000
"Block Group 3, Census Tract 5117.01, Santa Clara County, California",250000
"Block Group 1, Census Tract 5117.04, Santa Clara County, California",250000
"Block Group 2, Census Tract 5117.04, Santa Clara County, California",250000
"Block Group 3, Census Tract 5117.04, Santa Clara County, California",250000
"Block Group 1, Census Tract 5117.05, Santa Clara County, California",250000
"Block Group 1, Census Tract 5117.07, Santa Clara County, California",127778
"Block Group 1, Census Tract 5046.01, Santa Clara County, California",63750
"Block Group 1, Census Tract 5047, Santa Clara County, California",91667
"Block Group 2, Census Tract 5068.01, Santa Clara County, California",102353
"Block Group 4, Census Tract 5068.01, Santa Clara County, California",236979
"Block Group 3, Census Tract 5069, Santa Clara County, California",200602
"Block Group 4, Census Tract 5069, Santa Clara County, California",172250
"Block Group 2, Census Tract 5070.02, Santa Clara County, California",250000
"Block Group 1, Census Tract 5072.03, Santa Clara County, California",166250
"Block Group 1, Census Tract 5072.05, Santa Clara County, California",181875
"Block Group 3, Census Tract 5072.05, Santa Clara County, California",140227
"Block Group 1, Census Tract 5072.06, Santa Clara County, California",250000
"Block Group 2, Census Tract 5078.05, Santa Clara County, California",178977
"Block Group 2, Census Tract 5091.09, Santa Clara County, California",130776
"Block Group 1, Census Tract 5092.01, Santa Clara County, California",250000
"Block Group 3, Census Tract 5092.02, Santa Clara County, California",154750
"Block Group 4, Census Tract 5092.02, Santa Clara County, California",215465
"Block Group 1, Census Tract 5093.02, Santa Clara County, California",190694
"Block Group 2, Census Tract 5094.01, Santa Clara County, California",189464
"Block Group 1, Census Tract 5094.03, Santa Clara County, California",116400
"Block Group 2, Census Tract 5094.04, Santa Clara County, California",120667
"Block Group 2, Census Tract 5095, Santa Clara County, California",128456
"Block Group 3, Census Tract 5095, Santa Clara County, California",102300
"Block Group 1, Census Tract 5096, Santa Clara County, California",204702
