Block Group,White,Black,Indian and Alaska,Asian,Pacific,Other,Two races,Two or more
"Block Group 1, Census Tract 5046.01, Santa Clara County, California",365,25,32,285,21,148,141,155
"Block Group 1, Census Tract 5047, Santa Clara County, California",343,60,10,74,15,29,106,130
"Block Group 2, Census Tract 5068.01, Santa Clara County, California",996,27,8,427,4,43,197,212
"Block Group 4, Census Tract 5068.01, Santa Clara County, California",530,5,3,203,0,10,71,78
"Block Group 3, Census Tract 5069, Santa Clara County, California",1446,9,3,416,1,45,197,211
"Block Group 4, Census Tract 5069, Santa Clara County, California",1968,0,1,303,1,23,176,181
"Block Group 2, Census Tract 5070.02, Santa Clara County, California",832,3,2,127,0,23,94,108
"Block Group 1, Census Tract 5072.03, Santa Clara County, California",843,6,6,329,0,73,167,172
"Block Group 1, Census Tract 5072.05, Santa Clara County, California",394,10,0,193,4,20,68,72
"Block Group 3, Census Tract 5072.05, Santa Clara County, California",1011,4,3,367,0,63,165,176
"Block Group 1, Census Tract 5072.06, Santa Clara County, California",997,13,8,370,0,19,157,166
"Block Group 2, Census Tract 5078.05, Santa Clara County, California",198,9,0,828,0,24,77,84
"Block Group 2, Census Tract 5091.09, Santa Clara County, California",672,19,12,484,0,141,157,174
"Block Group 1, Census Tract 5092.01, Santa Clara County, California",602,17,22,406,19,116,200,210
"Block Group 3, Census Tract 5092.02, Santa Clara County, California",332,10,9,443,0,62,86,97
"Block Group 4, Census Tract 5092.02, Santa Clara County, California",314,12,4,282,0,72,110,119
"Block Group 1, Census Tract 5093.02, Santa Clara County, California",1003,29,2,368,3,61,178,184
"Block Group 2, Census Tract 5094.01, Santa Clara County, California",348,7,1,333,3,31,94,98
"Block Group 1, Census Tract 5094.03, Santa Clara County, California",673,36,46,535,4,682,373,395
"Block Group 1, Census Tract 5094.04, Santa Clara County, California",595,17,5,967,2,24,126,135
"Block Group 2, Census Tract 5094.04, Santa Clara County, California",367,14,8,460,0,197,112,117
"Block Group 2, Census Tract 5095, Santa Clara County, California",759,36,39,576,0,336,288,300
"Block Group 3, Census Tract 5095, Santa Clara County, California",730,22,20,366,12,159,241,264
"Block Group 1, Census Tract 5096, Santa Clara County, California",645,16,11,391,1,29,111,117
"Block Group 2, Census Tract 5096, Santa Clara County, California",440,31,7,278,1,97,111,121
"Block Group 1, Census Tract 5098.01, Santa Clara County, California",925,22,19,598,1,246,185,192
"Block Group 2, Census Tract 5098.01, Santa Clara County, California",554,22,3,238,6,33,123,134
"Block Group 5, Census Tract 5100.01, Santa Clara County, California",533,1,0,290,0,2,74,74
"Block Group 6, Census Tract 5100.01, Santa Clara County, California",399,1,0,306,0,8,57,57
"Block Group 3, Census Tract 5100.02, Santa Clara County, California",613,5,2,401,1,14,92,106
"Block Group 1, Census Tract 5101, Santa Clara County, California",827,14,5,536,4,22,124,130
"Block Group 1, Census Tract 5102, Santa Clara County, California",993,13,0,596,1,28,157,173
"Block Group 1, Census Tract 5104, Santa Clara County, California",812,24,2,813,1,33,189,195
"Block Group 1, Census Tract 5105, Santa Clara County, California",687,3,0,549,0,23,113,117
"Block Group 2, Census Tract 5105, Santa Clara County, California",1238,22,5,489,2,20,153,164
"Block Group 3, Census Tract 5105, Santa Clara County, California",1141,1,1,741,0,15,138,153
"Block Group 1, Census Tract 5108.03, Santa Clara County, California",589,13,0,612,0,25,78,89
"Block Group 2, Census Tract 5108.03, Santa Clara County, California",561,30,2,710,5,32,105,113
"Block Group 2, Census Tract 5110, Santa Clara County, California",578,29,1,563,4,34,158,164
"Block Group 5, Census Tract 5110, Santa Clara County, California",802,30,4,664,0,23,142,153
"Block Group 1, Census Tract 5112, Santa Clara County, California",967,17,3,327,13,23,136,149
"Block Group 2, Census Tract 5112, Santa Clara County, California",881,18,2,359,7,18,117,122
"Block Group 1, Census Tract 5113.02, Santa Clara County, California",798,23,0,467,2,24,94,103
"Block Group 2, Census Tract 5113.02, Santa Clara County, California",402,16,0,229,0,20,56,62
"Block Group 3, Census Tract 5113.02, Santa Clara County, California",527,4,1,136,2,13,51,59
"Block Group 1, Census Tract 5114, Santa Clara County, California",382,8,0,219,1,17,84,89
"Block Group 2, Census Tract 5114, Santa Clara County, California",642,11,5,327,4,25,95,101
"Block Group 3, Census Tract 5114, Santa Clara County, California",452,0,0,148,0,5,57,61
"Block Group 4, Census Tract 5114, Santa Clara County, California",687,12,0,343,6,12,86,92
"Block Group 1, Census Tract 5116.09, Santa Clara County, California",1870,111,0,1058,4,83,325,355
"Block Group 2, Census Tract 5117.01, Santa Clara County, California",1165,4,1,574,3,23,133,137
"Block Group 3, Census Tract 5117.01, Santa Clara County, California",525,1,2,396,2,13,80,84
"Block Group 1, Census Tract 5117.02, Santa Clara County, California",1250,10,1,655,4,30,155,161
"Block Group 1, Census Tract 5117.04, Santa Clara County, California",1170,5,3,739,10,33,150,155
"Block Group 2, Census Tract 5117.04, Santa Clara County, California",358,3,0,301,3,4,67,69
"Block Group 3, Census Tract 5117.04, Santa Clara County, California",1062,5,2,629,3,19,124,129
"Block Group 1, Census Tract 5117.05, Santa Clara County, California",947,62,8,435,9,82,160,173
"Block Group 1, Census Tract 5117.07, Santa Clara County, California",976,10,4,482,0,14,116,123
"Block Group 1, Census Tract 5130, Santa Clara County, California",865,110,1,395,24,68,186,193
"Block Group 3, Census Tract 5020.01, Santa Clara County, California",501,40,24,248,5,171,199,216
"Block Group 4, Census Tract 5020.01, Santa Clara County, California",629,67,34,270,0,592,251,277
"Block Group 1, Census Tract 5020.02, Santa Clara County, California",241,24,31,98,2,213,143,157
