County,Registered Voters,Ballots Cast,Voter Turnout
2001,9,81,9
2002,2731,2410,0.8825
2005,1751,1588,0.9069
2006,81,73,0.9012
2009,4365,3794,0.8692
2013,3559,3164,0.889
2014,3297,2876,0.8723
2018,142,118,0.831
2025,4073,3621,0.889
2043,3095,2814,0.9092
2046,4236,3751,0.8855
2057,3967,3510,0.8848
2068,3755,3394,0.9039
2098,4126,3618,0.8769
2108,3462,3105,0.8969
2125,366,334,0.9126
2274,276,247,0.8949
2275,1173,1086,0.9258
2278,1128,1014,0.8989
2281,6,5,0.8333
2282,1413,1273,0.9009
2285,2532,2313,0.9135
2301,3636,3261,0.8969
2305,4846,4372,0.9022
2309,1231,1127,0.9155
2314,2828,2591,0.9162
2317,2707,2469,0.9121
2330,4245,3888,0.9159
2338,167,147,0.8802
2351,2398,2194,0.9149
2353,43,35,0.814
2539,258,147,0.5698
2542,2081,1541,0.7405
2545,2367,1975,0.8344
2720,1633,1501,0.9192
2721,1433,1290,0.9002
2723,3283,2971,0.905
2724,2596,2330,0.8975
2725,2504,2218,0.8858
2726,1642,1431,0.8715
2727,1809,1667,0.9215
2729,1933,1767,0.9141
2734,2730,2374,0.8696
2740,3015,2659,0.8819
2751,25,17,0.68
2761,4,4,1
2802,2580,2375,0.9205
2808,107,86,0.8037
2810,24,21,0.875
2811,37,36,0.973
2812,303,269,0.8878
2813,255,237,0.9294
2816,25,23,0.92
2825,30,15,0.5
2870,133,121,0.9098
2951,323,277,0.8576
3001,3173,2723,0.8582
3002,3009,2510,0.8342
3005,57,54,0.9474
3008,38,31,0.8158
3010,2810,2323,0.8267
3011,2533,2106,0.8314
3012,134,118,0.8806
3013,3482,2880,0.8271
3016,1009,874,0.8662
3017,793,635,0.8008
3018,423,340,0.8038
3019,3485,2982,0.8557
3021,317,270,0.8517
3023,2854,2472,0.8662
3026,2113,1777,0.841
3029,0,0,0
3031,1,0,0
3032,1642,1475,0.8983
3034,3422,3074,0.8983
3035,2557,2189,0.8561
3039,1739,1556,0.8948
