,County,Registered Voters,Ballots Cast,A_Total _Votes,R_Total_Votes,AR_Total,Share_vote,A_share,R_share,cbg,Median Age,Male Median Age,Female Median Age,White,Black,Indian and Alaska,Asian,Pacific,Other,Two races,Two or more,Total educated number,Less than 9th,9th to 12th,High schoo,College no degree,Associate,Bachelor,Graduate,Median household income
0,2001,9,81,23,17,40,0.49382716049382713,0.2839506172839506,0.20987654320987653,60855117071,55.3,46.4,65.5,976.0,10.0,4.0,482.0,0.0,14.0,116.0,123.0,1611.0,15.0,9.0,227.0,139.0,35.0,523.0,663.0,127778.0
1,2002,2731,2410,1590,574,2164,0.8979253112033195,0.6597510373443983,0.23817427385892115,60855116091,38.4,35.6,42.3,1870.0,111.0,0.0,1058.0,4.0,83.0,325.0,355.0,1775.0,16.0,5.0,56.0,219.0,39.0,548.0,892.0,132118.0
2,2005,1751,1588,1077,364,1441,0.9074307304785895,0.6782115869017632,0.22921914357682618,60855115003,,,,,,,,,,,,,,,,,,,,
3,2006,81,73,44,17,61,0.8356164383561644,0.6027397260273972,0.2328767123287671,60855094012,32.5,32.6,32.3,348.0,7.0,1.0,333.0,3.0,31.0,94.0,98.0,563.0,0.0,21.0,5.0,102.0,63.0,187.0,185.0,189464.0
4,2009,4365,3794,2402,1025,3427,0.9032683183974697,0.6331049024775962,0.2701634159198735,60855115002,,,,,,,,,,,,,,,,,,,,
5,2013,3559,3164,2046,840,2886,0.9121365360303414,0.6466498103666245,0.26548672566371684,60855093021,43.1,43.3,42.8,1003.0,29.0,2.0,368.0,3.0,61.0,178.0,184.0,901.0,0.0,73.0,17.0,79.0,73.0,274.0,385.0,190694.0
6,2013,3559,3164,2046,840,2886,0.9121365360303414,0.6466498103666245,0.26548672566371684,60855094041,38.8,38.6,39.0,595.0,17.0,5.0,967.0,2.0,24.0,126.0,135.0,878.0,2.0,34.0,10.0,128.0,0.0,258.0,446.0,240192.0
7,2014,3297,2876,1670,848,2518,0.8755215577190543,0.5806675938803895,0.2948539638386648,60855117012,47.7,53.1,43.5,1165.0,4.0,1.0,574.0,3.0,23.0,133.0,137.0,1458.0,0.0,11.0,170.0,98.0,74.0,553.0,552.0,250000.0
8,2014,3297,2876,1670,848,2518,0.8755215577190543,0.5806675938803895,0.2948539638386648,60855117013,48.5,48.7,48.1,525.0,1.0,2.0,396.0,2.0,13.0,80.0,84.0,702.0,0.0,27.0,17.0,39.0,8.0,256.0,355.0,250000.0
9,2018,142,118,60,40,100,0.847457627118644,0.5084745762711864,0.3389830508474576,60855093021,43.1,43.3,42.8,1003.0,29.0,2.0,368.0,3.0,61.0,178.0,184.0,901.0,0.0,73.0,17.0,79.0,73.0,274.0,385.0,190694.0
